"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"10218","35-44",38000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Christian Education"
"10219","35-44",45801,"11 - 20 years","Master's degree","Woman","Entertainment","Executive Assistant/Project Coordinator"
"10220","25-34",91500,"2 - 4 years","College degree","Woman","Computing or Tech","Data Analyst"
"10221","25-34",75000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Human Resources Generalist"
"10222","35-44",84300,"11 - 20 years","College degree","Woman","Retail","Accounts Payable Manager"
"10223","25-34",51000,"2 - 4 years","College degree","Woman","Education (Higher Education)","administrative assistant"
"10224","25-34",51200,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Development"
"10225","45-54",100825,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","I.T. Director"
"10226","35-44",54000,"21 - 30 years","PhD","Woman","Education (Higher Education)","Postdoctoral Researcher, Anthropology"
"10227","25-34",52000,"5-7 years","College degree","Man","Transport or Logistics","General Manager"
"10228","45-54",64000,"21 - 30 years","Master's degree","Woman","Pharmaceutical research (chemist)","Research Scientist II"
"10229","35-44",101000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Partner"
"10230","25-34",220000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"10231","55-64",105000,"41 years or more","College degree","Man","Government and Public Administration","Records Management Officer"
"10232","45-54",75000,"11 - 20 years","Master's degree","Woman","Property or Construction","Sr. HR Generalist"
"10233","25-34",46175,"5-7 years","College degree","Man","Media & Digital","Director of Creative Services"
"10234","25-34",27040,"1 year or less","College degree","Woman","Accounting, Banking & Finance","Accounting Intern"
"10235","35-44",76000,"11 - 20 years","College degree","Woman","Manufacturing","Supply chain manager"
"10236","35-44",105000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Computing or Tech","data product manager"
"10237","35-44",99000,"11 - 20 years","College degree","Woman","Government and Public Administration","Communications Coordinator / Deputy Public Information Officer"
"10238","25-34",48818,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Global Transcript Evaluator"
"10239","25-34",78000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"10240","25-34",90000,"5-7 years","Professional degree (MD, JD, etc.)","Man","Law","Associate Attorney"
"10241","35-44",62616,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Associate Director"
"10242","25-34",45000,"5-7 years","Master's degree","Woman","Nonprofits","Policy and Communications specialist"
"10243","25-34",35000,"11 - 20 years","College degree","Man","Media & Digital","Photojournalist"
"10244","55-64",2e+05,"31 - 40 years","College degree","Man","Computing or Tech","Senior Director"
"10245","35-44",85000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff Attorney"
"10246","35-44",79000,"5-7 years","Master's degree","Woman","Engineering or Manufacturing","Civil engineer"
"10247","25-34",130000,"5-7 years","College degree","Woman","Computing or Tech","Senior Applications Architect"
"10248","25-34",98000,"11 - 20 years","College degree","Man","Computing or Tech","Lead Developer"
"10249","25-34",181000,"11 - 20 years","College degree","Woman","Computing or Tech","Manager"
"10250","35-44",114000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Government and Public Administration","Senior Analyst"
"10251","25-34",101200,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Audit Manager"
"10252","25-34",70000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"10253","45-54",104312,"31 - 40 years","Master's degree","Man","Accounting, Banking & Finance","Financial Controller"
"10254","25-34",45500,"2 - 4 years","College degree","Woman","Government and Public Administration","Communications Director"
"10255","25-34",41000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"10256","35-44",1e+05,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Religion","Minister"
"10257","25-34",61000,"5-7 years","College degree","Woman","Media & Digital","Staff writer"
"10258","25-34",39000,"2 - 4 years","College degree","Man","Computing or Tech","Enrollment Coordinator"
"10259","25-34",88000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Research Analyst"
"10260","25-34",115000,"5-7 years","Master's degree","Woman","Health care","Analytics Manager"
"10261","35-44",105000,"11 - 20 years","College degree","Man","Computing or Tech","IT Manager"
"10262","25-34",90000,"5-7 years","College degree","Woman","Nonprofits","Communications Director"
"10263","25-34",104000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Urban Planning","Senior Planner"
"10264","18-24",40000,"2 - 4 years","College degree","Woman","Health care","Research Assistant"
"10265","35-44",64790,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Human Resources Generalist"
"10266","25-34",32000,"2 - 4 years","College degree","Man","Media & Digital","Graphic Arts Specialist"
"10267","35-44",118000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Mediator"
"10268","45-54",2e+05,"21 - 30 years","College degree","Woman","Entertainment","Production Accountant"
"10269","25-34",120000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"10270","35-44",73000,"8 - 10 years","College degree","Man","Sales","Assistant Manager"
"10271","25-34",70000,"8 - 10 years","College degree","Woman","Art & Design","Brand Strategist"
"10272","25-34",140000,"8 - 10 years","College degree","Woman","Computing or Tech","VP HR"
"10273","45-54",130000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","System analyst"
"10274","35-44",99750,"8 - 10 years","College degree","Man","Marketing, Advertising & PR","Manager, Digital Advertising Operations"
"10275","35-44",130000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Division Chief"
"10276","35-44",51000,"11 - 20 years","College degree","Woman","Retail","Operations Director"
"10277","25-34",50000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Paralegal"
"10278","25-34",69000,"8 - 10 years","College degree","Woman","Transport or Logistics","Production Planner/Buyer"
"10279","25-34",87000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Head of Brand"
"10280","35-44",126736,"11 - 20 years","Master's degree","Man","Engineering or Manufacturing","Engineering Manager"
"10281","35-44",164000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Patent Attorney"
"10282","25-34",76000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"10283","25-34",130000,"11 - 20 years","High School","Man","Computing or Tech","Senior Developer"
"10284","35-44",70000,"11 - 20 years","College degree","Woman","Education (Higher Education)","social media manager"
"10285","25-34",105000,"5-7 years","College degree","Woman","Computing or Tech","Senior Email Marketing Manager"
"10286","35-44",120000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Staff Mechanical Engineer"
"10287","25-34",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Climate and Health Program Manager"
"10288","45-54",83000,"21 - 30 years","College degree","Woman","Media & Digital","Digital Managing Editor"
"10289","35-44",118000,"21 - 30 years","College degree","Woman","Architecture","Project Manager"
"10290","25-34",65000,"5-7 years","Master's degree","Woman","Media & Digital","Education journalist"
"10291","35-44",60000,"11 - 20 years","Master's degree","Woman","Public libraries","Assistant library director"
"10292","18-24",40000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","SEO Analyst"
"10293","25-34",58000,"8 - 10 years","College degree","Woman","Nonprofits","Development Manager"
"10294","25-34",52000,"8 - 10 years","College degree","Woman","Nonprofits","Marketing Manager"
"10295","35-44",1e+05,"11 - 20 years","Master's degree","Woman","Media & Digital","Senior Editor"
"10296","25-34",75000,"5-7 years","College degree","Woman","Government and Public Administration","Environmental Scientist"
"10297","35-44",34320,"11 - 20 years","College degree","Woman","Research","Operations Assistant"
"10298","25-34",45000,"11 - 20 years","College degree","Woman","Retail","Technology Specialist"
"10299","25-34",105000,"2 - 4 years","Master's degree","Man","Accounting, Banking & Finance","Senior Revenue Accountant"
"10300","45-54",46613,"11 - 20 years","College degree","Woman","Government and Public Administration","Accounting Analyst"
"10301","25-34",147000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Engineer"
"10302","25-34",95000,"8 - 10 years","College degree","Woman","Health care","Program Manager"
"10303","25-34",145000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Vice President"
"10304","35-44",60000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Outreach Specialist"
"10305","55-64",44100,"31 - 40 years","College degree","Woman","Education (Primary/Secondary)","Office Manager / Bookkeeper"
"10306","35-44",48000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Admission"
"10307","45-54",125000,"31 - 40 years","College degree","Man","Marketing, Advertising & PR","Quality Assurance Analyst"
"10308","25-34",40000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Marketing Analyst"
"10309","45-54",97000,"21 - 30 years","College degree","Woman","Law","Legal Nurse Consultant"
"10310","25-34",120000,"5-7 years","College degree","Man","Transport or Logistics","Director of Supply"
"10311","35-44",38833,"11 - 20 years","College degree","Woman","Customer Service","Product Application Support"
"10312","45-54",118000,"21 - 30 years","College degree","Woman","Computing or Tech","Content Developer and Coordinator"
"10313","35-44",113000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Finance/Investments"
"10314","25-34",56650,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Buyer"
"10315","25-34",63000,"11 - 20 years","College degree","Man","Computing or Tech","Project Manager"
"10316","25-34",92000,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","School Budget Specialist"
"10317","25-34",71989,"2 - 4 years","Master's degree","Woman","Public Health- state level","Emergency preparedness coordinator"
"10318","45-54",70000,"21 - 30 years","Master's degree","Woman","Nonprofits","Director of Training (for a statewide Org)"
"10319","45-54",55000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Project Manager"
"10320","35-44",130000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Associate Director"
"10321","35-44",73000,"8 - 10 years","Master's degree","Woman","Law","Legal Secretary"
"10322","35-44",43000,"11 - 20 years","Master's degree","Woman","Nonprofits","Relationship Manager"
"10323","35-44",61500,"11 - 20 years","College degree","Woman","Winery regulatory compliance","Compliance Speciaist"
"10324","25-34",70000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Campaign Specialist"
"10325","35-44",75000,"21 - 30 years","College degree","Woman","Publishing","Senior Manager of Digital Production"
"10326","35-44",85000,"11 - 20 years","College degree","Woman","Business or Consulting","Vice President"
"10327","25-34",122000,"5-7 years","College degree","Man","Computing or Tech","Software Engineer III"
"10328","35-44",185000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Accounting, Banking & Finance","Associate General Counsel"
"10329","18-24",54000,"2 - 4 years","College degree","Woman","Law","Paralegal Casehandler"
"10330","25-34",61500,"8 - 10 years","College degree","Woman","Publishing","Associate Publishing Manager"
"10331","25-34",75000,"11 - 20 years","College degree","Man","Marketing, Advertising & PR","Assistant SEO Manager"
"10332","45-54",65000,"11 - 20 years","Master's degree","Man","Media & Digital","Senior Editor"
"10333","35-44",50500,"11 - 20 years","College degree","Woman","Retail","Floral Manager"
"10334","25-34",84000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Industrial engineer"
"10335","35-44",80000,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","BCBA/LBA"
"10336","25-34",66000,"8 - 10 years","College degree","Man","Agriculture or Forestry","Human Resources Manager"
"10337","25-34",68647,"8 - 10 years","College degree","Woman","Government and Public Administration","Claims adjudicator"
"10338","25-34",34715,"1 year or less","College degree","Woman","Social Work","Client advocate"
"10339","25-34",75000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Marketing Manager"
"10340","35-44",97000,"8 - 10 years","College degree","Man","Accounting, Banking & Finance","Content Creator"
"10341","45-54",130000,"21 - 30 years","College degree","Woman","Computing or Tech","Senior engineer 1"
"10342","18-24",95000,"1 year or less","College degree","Woman","Computing or Tech","Technology Analyst"
"10343","35-44",81000,"11 - 20 years","College degree","Woman","Health care","Clinical Systems Analyst"
"10344","35-44",78500,"11 - 20 years","Master's degree","Woman","Nonprofits","Senior Associate"
"10345","25-34",50000,"5-7 years","College degree","Woman","Nonprofits","Philanthropy Officer"
"10346","45-54",62000,"21 - 30 years","College degree","Woman","Insurance","Senior Account Executive"
"10347","35-44",80000,"11 - 20 years","College degree","Man","Utilities & Telecommunications","Senior Treasury Accountant"
"10348","25-34",60000,"5-7 years","College degree","Woman","Media & Digital","features editor"
"10349","25-34",58000,"2 - 4 years","College degree","Woman","Nonprofits","Advocacy and Outreach Associate"
"10350","35-44",102000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Digital Collections Specialist (Librarian)"
"10351","25-34",45000,"8 - 10 years","College degree","Woman","Media & Digital","Digital Content Manager"
"10352","35-44",84500,"5-7 years","High School","Man","Mining","Production Supervisor"
"10353","35-44",114300,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Risk Manager"
"10354","25-34",83000,"5-7 years","College degree","Woman","Computing or Tech","Software Developer"
"10355","35-44",113362,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Law","Attorney"
"10356","25-34",63000,"2 - 4 years","College degree","Woman","Business or Consulting","Associate"
"10357","25-34",260000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Partner"
"10358","35-44",49149,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Prospect Management Analyst"
"10359","35-44",67558,"11 - 20 years","College degree","Woman","Administrative Support","Executive Assistant"
"10360","25-34",80000,"2 - 4 years","College degree","Man","Computing or Tech","Implementation Consultant / Onboarding Specialist"
"10361","45-54",82000,"11 - 20 years","College degree","Woman","Computing or Tech","Project manager"
"10362","18-24",56000,"5-7 years","College degree","Woman","Health care","Medical laboratory technician"
"10363","55-64",1e+05,"31 - 40 years","Master's degree","Woman","Computing or Tech","Program Analyst"
"10364","25-34",86000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Assistant Principal"
"10365","25-34",58000,"8 - 10 years","College degree","Woman","Nonprofits","Special Projects Coordinator"
"10366","35-44",134000,"11 - 20 years","Master's degree","Woman","User Experience (UX) Research","Senior UX Researcher"
"10367","35-44",69000,"21 - 30 years","College degree","Woman","Law","Sr. Admin Assistant"
"10368","25-34",47000,"8 - 10 years","College degree","Woman","Nonprofits","Social Media Manager"
"10369","35-44",72300,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Training & Communication"
"10370","35-44",51000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director of Site Operations & Student Affairs"
"10371","35-44",118000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education Consulting","Director"
"10372","25-34",90000,"5-7 years","College degree","Woman","Computing or Tech","Paralegal"
"10373","35-44",73000,"21 - 30 years","College degree","Woman","Education (Higher Education)","Director of Digital Media"
"10374","35-44",69000,"11 - 20 years","Master's degree","Woman","Health care","Staff RN"
"10375","35-44",73000,"11 - 20 years","College degree","Woman","Business or Consulting","Digital Marketing Strategist"
"10376","35-44",105000,"11 - 20 years","College degree","Man","Nonprofits","Senior Campaign Director"
"10377","35-44",58000,"11 - 20 years","College degree","Woman","Health care","Executive Assistant"
"10378","35-44",177000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Manager, Marketing"
"10379","25-34",90000,"5-7 years","College degree","Woman","Computing or Tech","Technical Writer"
"10380","35-44",182000,"8 - 10 years","Master's degree","Man","Health care","Senior Data Scientist"
"10381","25-34",61500,"2 - 4 years","Master's degree","Man","Education (Higher Education)","Statistical Programmer/Data Analyst"
"10382","35-44",60000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Video Editor"
"10383","35-44",192000,"21 - 30 years","Master's degree","Woman","Media & Digital","HR Director"
"10384","25-34",50000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Marketing Content Strategist"
"10385","35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Associate Director"
"10386","25-34",57200,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Business Controls Analyst"
"10387","25-34",40367,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Administrative Technician III"
"10388","25-34",61500,"5-7 years","Master's degree","Man","Education (Higher Education)","Art and Humanities Librarian"
"10389","25-34",69000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Social Media Manager"
"10390","35-44",57200,"11 - 20 years","Master's degree","Woman","Library","Branch Manager"
"10391","25-34",1e+05,"8 - 10 years","College degree","Man","Computing or Tech","IT Director"
"10392","25-34",71600,"11 - 20 years","Master's degree","Woman","Nonprofits","Assistant Director of Communications"
"10393","55-64",38404,"31 - 40 years","College degree","Woman","Government and Public Administration","Secretary"
"10394","35-44",76162,"11 - 20 years","College degree","Woman","Government and Public Administration","Editor"
"10395","55-64",85000,"31 - 40 years","College degree","Woman","Media & Digital","Director of Revenue Management"
"10396","35-44",220000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","general counsel"
"10397","45-54",56000,"31 - 40 years","College degree","Woman","Nonprofits","Academic advisor and program coordinator"
"10398","35-44",125000,"21 - 30 years","College degree","Man","Computing or Tech","Sysadmin + Software Developer"
"10399","25-34",56000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Lead Graphic Designer"
"10400","25-34",72000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Attorney Editor"
"10401","35-44",53000,"21 - 30 years","College degree","Woman","Nonprofits","administrative assistant"
"10402","55-64",80000,"21 - 30 years","College degree","Woman","Nonprofits","Development Officer"
"10403","35-44",98500,"11 - 20 years","Master's degree","Woman","Computing or Tech","Program Director"
"10404","25-34",111192,"8 - 10 years","College degree","Woman","Media & Digital","Reporter"
"10405","25-34",114000,"8 - 10 years","College degree","Woman","Nonprofits","Philanthropic Advisor"
"10406","45-54",185000,"21 - 30 years","College degree","Woman","Computing or Tech","Director of Engineering"
"10407","25-34",68500,"5-7 years","College degree","Man","Hospitality & Events","General Manager"
"10408","35-44",86000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Traffic Engineer"
"10409","25-34",70000,"5-7 years","Master's degree","Woman","Nonprofits","Director"
"10410","25-34",45000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Biller"
"10411","25-34",152000,"8 - 10 years","College degree","Woman","Computing or Tech","Process Specialist"
"10412","45-54",95500,"21 - 30 years","Master's degree","Man","Government and Public Administration","Soil scientist"
"10413","35-44",152800,"11 - 20 years","Master's degree","Man","Business or Consulting","User Experience Architecture Associate Manager"
"10414","25-34",82000,"5-7 years","PhD","Woman","Education (Higher Education)","Research Assistant Professor"
"10415","35-44",25000,"8 - 10 years","Master's degree","Man","Government and Public Administration","Library Tech"
"10416","35-44",110000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Controller"
"10417","35-44",62000,"11 - 20 years","Master's degree","Woman","Media & Digital","Managing Editor"
"10418","35-44",58500,"11 - 20 years","College degree","Woman","Media & Digital","photo editor"
"10419","25-34",120000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Product Marketing Manager"
"10420","25-34",55200,"11 - 20 years","Master's degree","Woman","Library and Information Services","Librarian I"
"10421","35-44",82000,"11 - 20 years","College degree","Woman","Hospitality & Events","Human Resources Director"
"10422","35-44",153000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Audit Senior Manager/CPA"
"10423","45-54",66000,"21 - 30 years","PhD","Woman","Education (Higher Education)","Director of a Program"
"10424","25-34",95000,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Business Analyst"
"10425","25-34",62691,"5-7 years","College degree","Woman","Law","Legal Assistant"
"10426","35-44",46000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Spanish teacher"
"10427","25-34",68000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Director of Accounts Receivable"
"10428","25-34",91000,"5-7 years","Master's degree","Woman","Computing or Tech","Senior editor"
"10429","35-44",105000,"11 - 20 years","College degree","Man","Marketing, Advertising & PR","Senior Martech Analyst"
"10430","25-34",34000,"5-7 years","College degree","Woman","Scientific Research","PhD Candidate (Graduate Student)"
"10431","25-34",70000,"8 - 10 years","Master's degree","Woman","Social Work","Clinical Services Manager"
"10432","35-44",52000,"11 - 20 years","College degree","Woman","Transport or Logistics","Supply Chain Coordinator"
"10433","25-34",91000,"5-7 years","Master's degree","Woman","Computing or Tech","Senior editor"
"10434","35-44",35000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Community Programs"
"10435","45-54",117500,"21 - 30 years","College degree","Man","Transport or Logistics","BI Developer"
"10436","25-34",43000,"5-7 years","Master's degree","Woman","University research","Research Assistant"
"10437","25-34",53000,"8 - 10 years","Master's degree","Woman","Nonprofits","Grants Manager"
"10438","18-24",102200,"2 - 4 years","College degree","Woman","Computing or Tech","Software Engineer 2"
"10439","35-44",42000,"8 - 10 years","Master's degree","Woman","Nonprofits","Admin Director"
"10440","25-34",83000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"10441","35-44",42000,"8 - 10 years","Master's degree","Woman","Academic Press Production","Production Controller"
"10442","25-34",58600,"5-7 years","College degree","Woman","Marketing, Advertising & PR","media relations manager"
"10443","25-34",134129,"8 - 10 years","College degree","Man","Marketing, Advertising & PR","Marketing Manager"
"10444","35-44",190000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Law","Senior Benefits Manager"
"10445","25-34",60000,"2 - 4 years","Master's degree","Woman","Computing or Tech","Workplace Manager"
"10446","25-34",80000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Operations Associate"
"10447","55-64",72000,"31 - 40 years","College degree","Woman","Property or Construction","Executive Assistant"
"10448","18-24",51500,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Junior Staff Accountant"
"10449","25-34",50614,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Call Center Supervisor"
"10450","25-34",70738,"8 - 10 years","College degree","Woman","Recruitment or HR","HR Business Partner"
"10451","35-44",42161,"11 - 20 years","College degree","Woman","Education (Higher Education)","Receptionist"
"10452","45-54",55000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"10453","25-34",64500,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Assistant Director"
"10454","25-34",85000,"5-7 years","College degree","Woman","Insurance","Senior examiner (claims)"
"10455","35-44",49920,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Records Management Specialist"
"10456","35-44",140000,"11 - 20 years","College degree","Man","Computing or Tech","Principal Software Engineer"
"10457","35-44",101000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Librarian/Digital Learning Coach"
"10458","35-44",74222,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Special Education Teacher and Case Manager"
"10459","25-34",168000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Commercial Banker"
"10460","35-44",115000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Senior Budget and Contracts Manager"
"10461","25-34",61000,"5-7 years","Master's degree","Man","Nonprofits","Policy Analyst"
"10462","25-34",50000,"2 - 4 years","Master's degree","Man","Leisure, Sport & Tourism","Associate Director of Athletics Communications"
"10463","45-54",150000,"21 - 30 years","Master's degree","Woman","Marketing, Advertising & PR","Communications Senior Manager"
"10464","25-34",37440,"8 - 10 years","College degree","Woman","Health care","Office Manager (dental)"
"10465","25-34",62000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","ASL Interpreter and Transcriber"
"10466","35-44",37000,"21 - 30 years","College degree","Woman","Education (Primary/Secondary)","Administrative Assistant"
"10467","35-44",56000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Grants and Contracts Officer"
"10468","35-44",76000,"11 - 20 years","College degree","Woman","Health care","Registered Nurse"
"10469","35-44",160000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Pharmaceutical/Biotech","Program Manager"
"10470","25-34",48000,"5-7 years","Master's degree","Woman","Library","Youth Services Librarian"
"10471","35-44",148274,"21 - 30 years","Master's degree","Woman","Health care","Consulting Manager"
"10472","35-44",64300,"21 - 30 years","College degree","Woman","Retail","General Manager"
"10473","35-44",2e+05,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Director, Deal Strategy"
"10474","25-34",60500,"5-7 years","College degree","Woman","Property or Construction","Marketing specialist"
"10475","35-44",67000,"11 - 20 years","College degree","Woman","Training","Instructional designer"
"10476","25-34",40520,"5-7 years","College degree","Woman","Insurance","Quality Analyst"
"10477","35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Senior Library Manager"
"10478","35-44",103500,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Senior Manufacturing Engineer"
"10479","25-34",63000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","GEAR UP Specialist"
"10480","25-34",57000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Chief Process Officer"
"10481","45-54",65000,"21 - 30 years","College degree","Woman","Manufacturing","Customer Service Manager"
"10482","35-44",33280,"11 - 20 years","College degree","Woman","Law","Corrections Technician"
"10483","35-44",107000,"8 - 10 years","College degree","Man","Health care","Sr. Project Manager supervisor"
"10484","35-44",48000,"11 - 20 years","PhD","Woman","Education (Primary/Secondary)","Spanish Teacher"
"10485","25-34",75000,"5-7 years","College degree","Man","Computing or Tech","Solutions Architect"
"10486","25-34",44000,"5-7 years","College degree","Woman","Education (Higher Education)","Departmental Business Manager"
"10487","25-34",170000,"8 - 10 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"10488","25-34",80000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Government and Public Administration","Senior Counsel"
"10489","35-44",257000,"11 - 20 years","Master's degree","Man","Accounting, Banking & Finance","Vice President"
"10490","35-44",130000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Full Stack Software Engineer"
"10491","35-44",155000,"11 - 20 years","College degree","Man","Utilities & Telecommunications","Principal Consultant"
"10492","25-34",55156,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Insights Specialist"
"10493","35-44",72000,"11 - 20 years","College degree","Man","Business or Consulting","Campaign Manager"
"10494","35-44",56000,"8 - 10 years","Master's degree","Woman","Social Work","Social Worker"
"10495","35-44",85000,"11 - 20 years","College degree","Woman","Wine Wholesale","Director of Operations"
"10496","25-34",53000,"5-7 years","PhD","Woman","Science academia","Post doc"
"10497","25-34",67500,"11 - 20 years","College degree","Woman","Nonprofits","Executive Assistant to CEO & Special Projects Manager"
"10498","45-54",61000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Reference Librarian"
"10499","35-44",85000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Marketing"
"10500","25-34",88000,"5-7 years","College degree","Woman","Public affairs / PR","Manager, Gov’t and Community Strategy "
"10501","45-54",180000,"21 - 30 years","Master's degree","Woman","Health care","Senior Director, Workforce Management"
"10502","25-34",107000,"2 - 4 years","Master's degree","Woman","Computing or Tech","Full Stack Engineer"
"10503","35-44",89000,"11 - 20 years","College degree","Woman","Computing or Tech","Product Marketing Manager"
"10504","25-34",39000,"5-7 years","College degree","Woman","Insurance","Underwriting Supervisor"
"10505","35-44",160000,"11 - 20 years","College degree","Man","Pharmaceuticals","Senior Software Engineer"
"10506","25-34",107000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Quality Manager"
"10507","25-34",103000,"5-7 years","Master's degree","Woman","Health care","Operations Consultant"
"10508","35-44",86000,"11 - 20 years","Master's degree","Woman","Social Work","Program Analyst"
"10509","25-34",85000,"5-7 years","College degree","Woman","Media & Digital","Product Specialist"
"10510","25-34",61800,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"10511","25-34",125000,"5-7 years","College degree","Woman","Computing or Tech","Learning Partner"
"10512","35-44",62000,"11 - 20 years","Master's degree","Woman","Public Libraries","Director"
"10513","35-44",75000,"11 - 20 years","College degree","Woman","Media & Digital","Senior Production Coordinator"
